provincia	population	population_male	population_women	gross_mortality_rate	fertility_rate	CPI	DIRCE_number_of_companies	DIRCE_industria	DIRCE_construccion	DIRCE_comercio_transporte_hosteleria	DIRCE_total_servicios	DIRCE_informacion_comunicaciones	DIRCE_actividades_financieras_seguros	DIRCE_actividades_inmobiliarias	DIRCE_actividades_profesionales_tecnicas	DIRCE_educacion_sanidad_servicios_sociales	DIRCE_otros_servicios	EPA_ratio_activo	EPA_ratio_desempleo	PIB_per_capita	CENSO_total_viviendas	CENSO_viviendas_principales	CENSO_viviendas_secundarias	CENSO_viviendas_vacias
Albacete	400007	200016	199991	9.15	38.24	102.822	26030	3500	3985	11223	7692	171	586	746	3048	1351	1790	55.14	29.36	18113	215948	149373	30244	36331
Alacant	1945642	968927	976715	8.2	38.21	102.611	127748	10422	19181	54336	45789	1548	2787	6757	18640	7509	8548	58.27	30.1	17405	1274096	738367	326705	209024
Almería	699329	355658	343671	7.17	45.78	102.271	40549	2390	6379	18622	13630	310	942	1246	5818	2380	2934	64.21	36.25	16855	395086	249309	72486	73291
Araba	321417	159622	161795	7.88	44.54	102.637	20121	2268	3282	7921	7173	359	385	242	3326	1293	1568	61.99	17.5	35175	155767	135107	9791	10869
Asturias	1068165	511346	556819	12.28	32.44	102.716	66869	3862	9891	29447	25767	736	1429	2275	10431	4873	6023	52.04	22.25	21310	-	-	-	-
Badajoz	693729	344296	349433	9.86	38.87	102.391	38822	3215	5218	18552	12448	304	920	792	5247	2237	2948	56.84	32.72	15617	372493	259955	49441	63097
Illes Balears	1111674	554603	557071	7.31	39.05	103.73	85044	4604	15126	31633	34009	1255	1695	4297	15175	5340	6247	63.3	22.91	23769	-	-	-	-
Barcelona	5540925	2711403	2829522	8.35	42.72	104.494	438385	30598	59518	162613	193418	10467	9221	25312	81950	36275	30193	61.41	21.74	26531	2603097	2168607	151335	283155
Bizkaia	1156447	559573	596874	9.76	40.04	103.418	79957	6171	13021	32220	31375	1489	1542	2627	13727	6063	5927	55.77	17.03	28618	533882	467295	22883	43704
Burgos	371248	186638	184610	10.64	38.63	103.908	25072	1917	3954	10130	9195	204	509	846	3101	1384	3151	60.05	18.73	27128	253505	151831	65684	35990
